Location,Time,Temp,Humidity,Pressure,WindSpeed,Latitude,Longitude,WeatherId,Main,Description
Miami,1721246188,306.06,64,1017,6.17,25.78330,-80.25980,802,Clouds,scattered clouds
Salvador,1721246189,298.84,69,1020,5.52,-12.97770,-38.50160,800,Clear,clear sky
Sydney,1721245924,282.24,82,1012,4.63,-33.86880,151.20930,801,Clouds,few clouds
Shibuya,1721245983,298.33,88,1011,2.57,35.68950,139.69170,803,Clouds,broken clouds
London,1721245846,293.52,70,1021,3.58,51.50730,-0.12760,804,Clouds,overcast clouds
Miami,1721246188,306.06,64,1017,6.17,25.78330,-80.25980,802,Clouds,scattered clouds
Salvador,1721246189,298.84,69,1020,5.52,-12.97770,-38.50160,800,Clear,clear sky
Sydney,1721245924,282.24,82,1012,4.63,-33.86880,151.20930,801,Clouds,few clouds
Shibuya,1721245983,298.33,88,1011,2.57,35.68950,139.69170,803,Clouds,broken clouds
London,1721245846,293.52,70,1021,3.58,51.50730,-0.12760,804,Clouds,overcast clouds
Miami,1721247721,305.94,66,1017,5.14,25.78330,-80.25980,802,Clouds,scattered clouds
Salvador,1721247630,298.84,69,1020,5.52,-12.97770,-38.50160,800,Clear,clear sky
Sydney,1721247723,282.13,82,1012,3.60,-33.86880,151.20930,801,Clouds,few clouds
Shibuya,1721247724,298.36,86,1011,1.03,35.68950,139.69170,803,Clouds,broken clouds
London,1721247129,293.16,71,1021,3.60,51.50730,-0.12760,804,Clouds,overcast clouds
Miami,1721247721,305.94,66,1017,5.14,25.78330,-80.25980,802,Clouds,scattered clouds
Salvador,1721247630,298.84,69,1020,5.52,-12.97770,-38.50160,800,Clear,clear sky
Sydney,1721247723,282.13,82,1012,3.60,-33.86880,151.20930,801,Clouds,few clouds
Shibuya,1721247724,298.36,86,1011,1.03,35.68950,139.69170,803,Clouds,broken clouds
London,1721247862,292.90,71,1021,3.60,51.50900,-0.12810,804,Clouds,overcast clouds
Miami,1721251326,305.50,69,1017,5.14,25.78220,-80.26060,802,Clouds,scattered clouds
Salvador,1721251806,298.84,72,1020,5.06,-12.97770,-38.50160,800,Clear,clear sky
Sydney,1721251194,281.59,83,1013,4.63,-33.86880,151.20930,801,Clouds,few clouds
Shibuya,1721251591,298.85,85,1012,2.06,35.68900,139.69290,803,Clouds,broken clouds
London,1721251807,291.43,76,1022,1.38,51.50740,-0.12780,804,Clouds,overcast clouds
Miami,1721255403,304.79,71,1017,6.17,25.78330,-80.25980,802,Clouds,scattered clouds
Salvador,1721255285,297.84,72,1020,5.06,-12.97770,-38.50160,800,Clear,clear sky
Sydney,1721254863,282.72,81,1013,5.14,-33.87480,151.20700,801,Clouds,few clouds
Shibuya,1721255067,299.65,82,1012,1.03,35.68900,139.69290,803,Clouds,broken clouds
London,1721254907,289.88,81,1022,1.38,51.50730,-0.12760,804,Clouds,overcast clouds
Miami,1721258505,304.05,74,1017,5.66,25.78220,-80.26060,802,Clouds,scattered clouds
Salvador,1721259004,297.84,76,1021,5.10,-12.97770,-38.50160,801,Clouds,few clouds
Sydney,1721258890,285.15,73,1013,4.12,-33.86880,151.20930,801,Clouds,few clouds
Shibuya,1721258849,300.88,77,1012,2.06,35.68900,139.69290,803,Clouds,broken clouds
London,1721258750,288.55,84,1021,1.25,51.50730,-0.12760,804,Clouds,overcast clouds
Miami,1721262129,302.96,78,1017,6.69,25.78220,-80.26060,803,Clouds,broken clouds
Salvador,1721262603,297.84,77,1021,5.25,-12.97770,-38.50160,803,Clouds,broken clouds
Sydney,1721262333,287.40,63,1013,6.17,-33.86880,151.20930,801,Clouds,few clouds
Shibuya,1721262018,302.58,71,1012,3.09,35.68900,139.69290,803,Clouds,broken clouds
London,1721262061,287.79,87,1021,1.43,51.50730,-0.12760,804,Clouds,overcast clouds
Miami,1721265713,302.31,81,1018,3.60,25.78220,-80.26060,802,Clouds,scattered clouds
Salvador,1721266203,297.84,77,1021,5.02,-12.97770,-38.50160,803,Clouds,broken clouds
Sydney,1721265699,288.64,58,1013,5.66,-33.86800,151.21001,800,Clear,clear sky
Shibuya,1721265820,303.91,65,1011,2.57,35.68900,139.69290,803,Clouds,broken clouds
London,1721265826,287.24,89,1021,1.59,51.50730,-0.12760,804,Clouds,overcast clouds
Miami,1721269802,302.27,82,1018,4.63,25.78330,-80.25980,801,Clouds,few clouds
Salvador,1721269493,297.84,77,1021,5.02,-12.97770,-38.50160,803,Clouds,broken clouds
Sydney,1721269560,290.45,53,1012,0.45,-33.86800,151.21001,801,Clouds,few clouds
Shibuya,1721269522,305.22,62,1011,3.09,35.68900,139.69290,803,Clouds,broken clouds
London,1721269101,286.93,90,1021,1.34,51.50730,-0.12760,804,Clouds,overcast clouds
